,dataset,object,owner,project,property,stars,users
205,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,apgadintų_transporto_priemonių_skaičius,2.0,
206,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,įvykio_vieta,2.0,
207,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,gatvė,2.0,
208,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,namo_numeris,2.0,
209,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,kita_gatvė_sankryžoje,2.0,
210,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,kelio_pavadinimas,2.0,
211,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,kelio_reikšmė,2.0,
212,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,atstumas_nuo_kelio_pradžios,2.0,
213,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,dangos_rūšis,2.0,
214,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,dangos_būklė,2.0,
215,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,paros_metas,2.0,
216,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,apšvietimas,2.0,
217,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,meteorologinės_sąlygos,2.0,
218,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,unnamed_24,2.0,
219,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,kelio_gatvės_kreivė,2.0,
220,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,nulemiantys_veiksniai,2.0,
221,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,unnamed_27,2.0,
222,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,atitvarai_1_yra_0_nėra_,2.0,
223,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,sankryžos_tipas,2.0,
